Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
163,0.5,0,0,0,0,0,0.1852,0,0.664,0,,0,0.0382,0,0.0395,0
164,0.4785,0,0.2612,0,0,0,0.0021,0,0,0,,0.1545,0.0265,0,0.0217,0.0166
165,0,0,0,0.0811,0.3717,0,0.1864,0,0.1204,0.0961,,0.1748,0,0,0.126,0.0652
166,0.5555,0.0495,0,0,0,0,0.4205,0,0.0409,0.1294,,0.2278,0.0298,0.3521,0.0244,0.1968
167,0.155,0,0,0,0.1852,0,0,0,0.1148,0.0625,,0,0,0.0813,0.0762,0
168,0,0.0994,0.0884,0,0,0,0.1654,0,0,0,,0.3945,0.0431,0.0895,0.0732,0
169,0,0.0459,0.2411,0.3841,0,0,0,0,0,0,,0.0443,0,0,0,0.5
170,0.128,0.1483,0,0.0712,0,0,0,0,0.2279,0.0441,,0.17,0,0,0,0
171,0,0.026,0.0359,0,0.1774,0.0988,0,0,0.1906,0.1288,,0,0,0.1001,0.1317,0
172,0,0,0.0387,0.0061,0,0.3787,0.2121,0,0.1258,0,,0.0905,0,0,0.0753,0
173,0.3188,0.0169,0,0.1027,0,0.0692,0.2652,0.0305,0,0.048,,0.0864,0,0.0834,0,0.0279
174,0.0836,0,0.0251,0,0,0.0398,0.6521,0,0.0091,0.1296,,0,0.0176,0.0349,0.0458,0.0323
175,0,0,0,0.1109,0,0,0,0,0.5,0,,0,0.0219,0,0.1133,0.0233
176,0.3802,0,0,0,0.0008,0,0.2522,0,0,0,,0,0,0,0,0.108
177,0,0,0,0.2291,0,0.0691,0.1989,0.0155,0.3799,0,,0,0.1255,0,0.2288,0
178,0,0.1459,0.0816,0,0,0.0052,0,0,0.5,0,,0,0,0.0416,0,0.0279
179,0,0.0329,0,0.2922,0,0,0.0165,0,0,0.0468,,0,0,0.0412,0,0
180,0,0,0.1016,0,0,0.0318,0.1141,0.0265,0.1869,0,,0,0.0255,0,0,0.0862
181,0.0057,0.064,0,0.0403,0,0,0.1532,0,0.1782,0,,0.0796,0.1531,0,0.5,0
182,0.1294,0.0582,0,0.2019,0.2011,0.0877,0.0943,0,0.3071,0.0596,,0.0154,0,0,0.2213,0
183,0.4046,0,0.0648,0,0,0,0,0,0,0.0185,,0,0.0002,0,0,0.0404
184,0.079,0,0.0281,0,0.4187,0.0948,0,0,0.2478,0,,0.0147,0.0946,0.2545,0,0.0474
185,0.1745,0,0.0272,0.036,0,0,0,0,0,0.0548,,0,0,0.5,0.5,0.5
186,0.4062,0.0559,0,0,0.0921,0,0,0.0116,0.1267,0,,0.034,0.0435,0,0,0
187,0.0887,0,0.0304,0,0,0.0265,0,0,0,0,,0.0537,0,0.1337,0,0
188,0,0,0,0,0,0.0691,0,0.0116,0,0.0525,,0,0.185,0.0316,0,0
189,0.0139,0,0,0,0,0,0,0.0116,0.322,0,,0,0,0.0314,0.0713,0
190,0,0.5,0.1995,0.0784,0,0.0692,0.5,0.0022,0.2521,0.1795,,0,0,0,0.0952,0
191,0.0322,0,0,0,0,0,0,0.04,0.1325,0,,0,0,0,0.5,0
192,0,0,0.0488,0.0869,0,0,0.4373,0,0,0,,0,0,0,0,0
193,0.1384,0,0.0235,0,0,0,0.0924,0,0.255,0.0294,,0,0,0.1498,0,0.0728
194,0.0359,0,0,0,0,0,0.245,0.0164,0.4271,0.0243,,0,0,0,0.3241,0
195,0.4393,0,0,0.0626,0,0.0024,0.2324,0,0.0207,0.064,,0,0,0.0391,0,0
196,0,0.0411,0.4041,0,0,0,0.0192,0.0067,0,0,,0,0.2657,0,0,0
197,0.3996,0.0364,0.1229,0.0576,0,0,0.5,0,0,0,,0.5302,0.2399,0.5,0,0
198,0.1024,0,0.0824,0.3017,0.1592,0,0,0.0141,0,0,,0.1664,0,0.0312,0.0163,0.5061
199,0,0.0822,0.0178,0,0.0048,0,0.5,0,0,0,,0,0.0107,0.0559,0,0
200,0,0,0.2066,0,0,0.0618,0.4264,0,0,0,,0,0,0,0,0
201,0.2063,0,0,0.1159,0.0773,0,0,0,0,0,,0.0367,0,0.0876,0.0449,0
202,0,0,0,0.0835,0,0,0,0,0,0.0043,,0.0099,0,0.5,0,0.2963
203,0,0.0437,0.2832,0.1018,0.0148,0.1995,0,0,0.5,0.0588,,0.0227,0,0,0,0
204,0,0,0,0,0.3329,0.0578,0,0,0.1008,0.1747,,0.0192,0.0548,0,0,0.0916
205,0,0.0343,0.0422,0,0,0,0.3749,0,0,0,,0.035,0.5,0,0,0.0665
206,0.313,0,0.0595,0.3816,0,0.0103,0.3068,0,0,0,,0,0.1747,0.0157,0,0
207,0.1137,0.2394,0,0,0,0.0531,0,0,0,0.029,,0.0995,0.0398,0.187,0.0627,0
208,0.0307,0,0,0.0777,0,0.1612,0.467,0,0,0.0571,,0.244,0.3916,0,0,0
209,0,0.0661,0,0.5,0.0084,0,0,0.0449,0,0.1053,,0.0901,0.189,0.4321,0,0.185
210,0,0,0,0,0,0,0.2755,0,0,0.0747,,0.0549,0,0,0,0
211,0,,0.0675,0.0682,0,0,,0,0,0.0043,,0.037,0.0503,0,0.5808,0
212,0.0533,,0,0,0,0.0265,,0.0649,0,0,,0,0.3548,0,0.0321,0
213,0.1755,,0.1048,0,0.1904,0.3031,,0,0,0,,0,0.0193,0,0,0
214,0.5,,0.0829,0.1292,0,0.0578,,0,0,0,,0,0,0,0.146,0
215,0.3551,,0,0,0,0.5,,0,0,0,,0,0,0,0,0
216,0,,0.1002,0.0116,0,0.0132,,0,0.5,0,,0.0132,0.1339,0,0,0
217,0.5,,0.06,0,0,0,,0,0,0,,0.223,0.5265,0,0.2792,0
218,0.0163,,0.0351,0,0,0,,0,0.0037,0.0071,,0.6785,0.2587,0.0398,0,0.0582
219,0.5,,0.1077,0,0,0,,0,0.1474,0,,0.4952,0,0.0728,0.0271,0
220,0.0414,,0.0235,0,0,0,,0,0,0,,0,0,0,0,0
221,0,,0,0,0,0.0255,,0,0,0.0377,,0,0.1293,0,0,0
222,0.1493,,0,0.0301,0,0,,0,0.3735,0,,0,0,0.0466,0,0
223,0.1194,,0,0,0.0773,0,,0,0,0,,0,0,0,0,0
224,0,,0.1265,0,0,0.012,,0,0.0808,0.0924,,0,0,0,0,0.5
225,0,,0,0.0476,0.5062,0,,0,0.0459,0,,0,0.1568,0,0.1529,0
226,0,,0,0.1074,0,0,,0,0,0,,0,0,0,0,0
227,0,,0,0.2648,0,0.0642,,0,0,0.0971,,0,0,0.0688,0,0
228,0,,0,0,0.0488,0,,0,0,0,,0,0.0107,0,0.0952,0.0338
229,0,,0.0185,0,0,0,,0,0,0.0185,,0,0,0,0,0
230,0,,0.0372,0,0.3691,0,,0,0,0.0631,,0,0.043,0.5,0,0
231,0.145,,0.0215,0,0.4625,0,,0,0.3881,0,,0.0116,0.1074,0.0571,0.0372,0
232,0,,0.2612,0,0,0,,0,0.0361,0.0185,,0,0,0.5,,0
233,0.4096,,0,0.0479,0.1309,0,,0,0,0.0546,,0,0,0.285,,0.0378
234,0,,0,0,0.4692,0,,0.0309,0,0.0364,,0,0,0,,0.1406
235,0.1277,,0.1054,0,0,0,,0.0255,0.0348,0.0364,,0,0.0769,0.0929,,0
236,0,,0,0,0,0,,0.0304,0,0,,0,0,0,,0
237,0,,0.1951,0,0.0555,0,,0,0,0,,0,0,0,,0.2804
238,0,,0,0,0,0,,0,0.0727,0.0639,,0,0.0026,0.0409,,0
239,0.0326,,0,0.0398,0.097,0.0534,,0,0,0,,0,0.0112,0,,0.0366
