Dyad,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
22847,,,,,,0.1387,,0,,,,,,,,
22848,,,,,,0.2628,,0,,,,,,,,
22849,,,,,,0,,0,,,,,,,,
22850,,,,,,0.4064,,0,,,,,,,,
22851,,,,,,0.0482,,0,,,,,,,,
22852,,,,,,0.8221,,0.1215,,,,,,,,
22853,,,,,,0.0741,,0.1153,,,,,,,,
22854,,,,,,0,,0.0249,,,,,,,,
22855,,,,,,0.1038,,0.0575,,,,,,,,
22856,,,,,,0,,0.202,,,,,,,,
22857,,,,,,0,,0,,,,,,,,
22858,,,,,,0.1881,,0,,,,,,,,
22859,,,,,,0.0528,,0,,,,,,,,
22860,,,,,,0,,0.1148,,,,,,,,
22861,,,,,,0.303,,0.0574,,,,,,,,
22862,,,,,,0.2405,,0.3087,,,,,,,,
22863,,,,,,0.0889,,0.1644,,,,,,,,
22864,,,,,,0.0469,,0.2355,,,,,,,,
22865,,,,,,0,,0,,,,,,,,
22866,,,,,,0.7297,,0,,,,,,,,
22867,,,,,,0,,0.026,,,,,,,,
22868,,,,,,0,,0.0677,,,,,,,,
22869,,,,,,0,,0,,,,,,,,
22870,,,,,,0,,0.1733,,,,,,,,
22871,,,,,,0.0474,,0,,,,,,,,
22872,,,,,,0.3,,0,,,,,,,,
22873,,,,,,0.4539,,0.0882,,,,,,,,
22874,,,,,,0,,0.0132,,,,,,,,
22875,,,,,,0,,0,,,,,,,,
22876,,,,,,0,,0.0222,,,,,,,,
22877,,,,,,0.0076,,0,,,,,,,,
22878,,,,,,0.0427,,0,,,,,,,,
22879,,,,,,0,,0,,,,,,,,
22880,,,,,,0,,0.013,,,,,,,,
22881,,,,,,0.0649,,0,,,,,,,,
22882,,,,,,0.1154,,0,,,,,,,,
22883,,,,,,0,,0.0957,,,,,,,,
22884,,,,,,0.5,,0.3549,,,,,,,,
22885,,,,,,0,,0.1807,,,,,,,,
22886,,,,,,0.1862,,0,,,,,,,,
22887,,,,,,0,,0,,,,,,,,
22888,,,,,,0.0352,,0.0256,,,,,,,,
22889,,,,,,0,,0.118,,,,,,,,
22890,,,,,,0,,0.0411,,,,,,,,
22891,,,,,,0,,0.3887,,,,,,,,
22892,,,,,,0,,0,,,,,,,,
22893,,,,,,0,,0,,,,,,,,
22894,,,,,,0.3668,,0.3345,,,,,,,,
22895,,,,,,0,,0,,,,,,,,
22896,,,,,,0.1384,,0.2494,,,,,,,,
22897,,,,,,0,,0.1564,,,,,,,,
22898,,,,,,0.4319,,0,,,,,,,,
22899,,,,,,0,,0.0676,,,,,,,,
22900,,,,,,0,,0,,,,,,,,
22901,,,,,,0.0856,,0.0325,,,,,,,,
22902,,,,,,0.5,,0,,,,,,,,
22903,,,,,,0.0252,,0,,,,,,,,
22904,,,,,,0,,0,,,,,,,,
22905,,,,,,0,,0,,,,,,,,
22906,,,,,,0,,0,,,,,,,,
22907,,,,,,0.1079,,0,,,,,,,,
22908,,,,,,0.0401,,0.1206,,,,,,,,
22909,,,,,,0.1385,,0.0344,,,,,,,,
22910,,,,,,0,,0.0255,,,,,,,,
22911,,,,,,0.043,,0,,,,,,,,
22912,,,,,,0.0321,,0,,,,,,,,
22913,,,,,,0.1911,,0,,,,,,,,
22914,,,,,,0,,0.2597,,,,,,,,
22915,,,,,,0,,0,,,,,,,,
22916,,,,,,0.0305,,0.1726,,,,,,,,
22917,,,,,,0.1301,,0.2258,,,,,,,,
22918,,,,,,0,,0,,,,,,,,
22919,,,,,,0,,0,,,,,,,,
22920,,,,,,0,,0,,,,,,,,
22921,,,,,,0,,0,,,,,,,,
22922,,,,,,0,,0.0833,,,,,,,,
22923,,,,,,0.0477,,0.0119,,,,,,,,
22924,,,,,,0.0675,,0,,,,,,,,
22925,,,,,,0.5,,0.0437,,,,,,,,
22926,,,,,,0,,0.1328,,,,,,,,
22927,,,,,,0.4306,,0,,,,,,,,
22928,,,,,,0.0734,,0.0167,,,,,,,,
22929,,,,,,0,,0,,,,,,,,
22930,,,,,,0,,0,,,,,,,,
22931,,,,,,0.0257,,0,,,,,,,,
22932,,,,,,0,,0,,,,,,,,
22933,,,,,,0,,0,,,,,,,,
22934,,,,,,0,,0,,,,,,,,
22935,,,,,,0,,0.0631,,,,,,,,
22936,,,,,,0.1138,,0,,,,,,,,
22937,,,,,,0.0446,,0,,,,,,,,
22938,,,,,,0,,0.0857,,,,,,,,
22939,,,,,,0,,0,,,,,,,,
22940,,,,,,0,,0,,,,,,,,
22941,,,,,,0,,0.1436,,,,,,,,
22942,,,,,,0,,0.2914,,,,,,,,
22943,,,,,,0.0611,,0.0426,,,,,,,,
22944,,,,,,0,,0,,,,,,,,
22945,,,,,,0,,0.0097,,,,,,,,
22946,,,,,,0,,0.013,,,,,,,,
22947,,,,,,0,,0.1429,,,,,,,,
22948,,,,,,0.495,,0.018,,,,,,,,
22949,,,,,,0,,0,,,,,,,,
22950,,,,,,0,,0.3062,,,,,,,,
22951,,,,,,0,,0.0506,,,,,,,,
22952,,,,,,0,,0,,,,,,,,
22953,,,,,,0,,0.0209,,,,,,,,
22954,,,,,,0,,0,,,,,,,,
22955,,,,,,0,,0.4388,,,,,,,,
22956,,,,,,0,,0.0861,,,,,,,,
22957,,,,,,0.1035,,0.0769,,,,,,,,
22958,,,,,,0,,0,,,,,,,,
22959,,,,,,0,,0.2139,,,,,,,,
22960,,,,,,0,,0.32,,,,,,,,
22961,,,,,,0,,0.0333,,,,,,,,
22962,,,,,,0,,0,,,,,,,,
22963,,,,,,0.042,,0.5,,,,,,,,
22964,,,,,,0.2216,,0,,,,,,,,
22965,,,,,,0,,0.0224,,,,,,,,
22966,,,,,,0.0996,,0,,,,,,,,
22967,,,,,,0,,0.2156,,,,,,,,
22968,,,,,,0,,0.1199,,,,,,,,
22969,,,,,,0.1769,,0,,,,,,,,
22970,,,,,,0.3004,,0,,,,,,,,
22971,,,,,,0,,0.0642,,,,,,,,
22972,,,,,,0.3154,,0.0717,,,,,,,,
22973,,,,,,0.5,,0.0982,,,,,,,,
22974,,,,,,0.0766,,0.0975,,,,,,,,
22975,,,,,,0.1313,,0.576,,,,,,,,
22976,,,,,,0,,0.1574,,,,,,,,
22977,,,,,,0,,0.1116,,,,,,,,
22978,,,,,,0,,0.2558,,,,,,,,
22979,,,,,,0,,0,,,,,,,,
22980,,,,,,0.3211,,0.1964,,,,,,,,
22981,,,,,,0.5,,0,,,,,,,,
22982,,,,,,0.0758,,0.1553,,,,,,,,
22983,,,,,,0.1771,,0,,,,,,,,
22984,,,,,,0.5,,0,,,,,,,,
22985,,,,,,0.215,,0.2813,,,,,,,,
22986,,,,,,0,,0,,,,,,,,
22987,,,,,,0.2191,,0,,,,,,,,
22988,,,,,,0.3052,,0,,,,,,,,
22989,,,,,,0.1628,,0,,,,,,,,
22990,,,,,,0.0378,,0.2556,,,,,,,,
22991,,,,,,0.2893,,0,,,,,,,,
22992,,,,,,0.0637,,0,,,,,,,,
22993,,,,,,0.2766,,0.2352,,,,,,,,
22994,,,,,,0,,0.1351,,,,,,,,
22995,,,,,,0,,0.1351,,,,,,,,
22996,,,,,,0.2216,,0,,,,,,,,
22997,,,,,,0.1388,,0.0032,,,,,,,,
22998,,,,,,0,,0.0516,,,,,,,,
22999,,,,,,0,,0.1155,,,,,,,,
23000,,,,,,0.234,,0,,,,,,,,
23001,,,,,,0.2182,,0,,,,,,,,
23002,,,,,,0,,0.2079,,,,,,,,
23003,,,,,,0.0883,,0.1439,,,,,,,,
23004,,,,,,0.5087,,0.0162,,,,,,,,
23005,,,,,,0.0227,,0,,,,,,,,
23006,,,,,,0,,0,,,,,,,,
23007,,,,,,0.3485,,0.3121,,,,,,,,
23008,,,,,,0.3279,,0,,,,,,,,
23009,,,,,,0.1851,,0,,,,,,,,
23010,,,,,,0,,0.0665,,,,,,,,
23011,,,,,,0.1519,,0.0506,,,,,,,,
23012,,,,,,0,,0.0232,,,,,,,,
23013,,,,,,0,,0,,,,,,,,
23014,,,,,,0,,0.0844,,,,,,,,
23015,,,,,,0,,0,,,,,,,,
23016,,,,,,0,,0.2177,,,,,,,,
23017,,,,,,0,,0.0562,,,,,,,,
23018,,,,,,0.15,,0.2063,,,,,,,,
23019,,,,,,0,,0.2287,,,,,,,,
23020,,,,,,0,,0,,,,,,,,
23021,,,,,,0.0734,,0,,,,,,,,
23022,,,,,,0.0321,,0.1227,,,,,,,,
23023,,,,,,0.0528,,0.0937,,,,,,,,
23024,,,,,,0.1707,,0.2119,,,,,,,,
23025,,,,,,0.541,,0,,,,,,,,
23026,,,,,,0.1627,,0.0069,,,,,,,,
23027,,,,,,0,,0.4256,,,,,,,,
23028,,,,,,0.3331,,0.7202,,,,,,,,
23029,,,,,,0.2984,,0,,,,,,,,
23030,,,,,,0,,0,,,,,,,,
23031,,,,,,0.0559,,0.0367,,,,,,,,
23032,,,,,,0.3239,,0.1204,,,,,,,,
23033,,,,,,0.5,,0.1022,,,,,,,,
23034,,,,,,0,,0.0334,,,,,,,,
23035,,,,,,0,,0,,,,,,,,
23036,,,,,,0.0757,,0,,,,,,,,
23037,,,,,,0.2051,,0,,,,,,,,
23038,,,,,,0,,0.0375,,,,,,,,
23039,,,,,,0,,0,,,,,,,,
23040,,,,,,0,,0.1316,,,,,,,,
23041,,,,,,0,,0.5007,,,,,,,,
23042,,,,,,0,,0.2659,,,,,,,,
23043,,,,,,0.2437,,0.5,,,,,,,,
23044,,,,,,0,,0.2872,,,,,,,,
23045,,,,,,0.3746,,0,,,,,,,,
23046,,,,,,0.2037,,0,,,,,,,,
23047,,,,,,0.2665,,0,,,,,,,,
23048,,,,,,0.1051,,0,,,,,,,,
23049,,,,,,0,,0,,,,,,,,
23050,,,,,,0.257,,0,,,,,,,,
23051,,,,,,0.0273,,0.1366,,,,,,,,
23052,,,,,,0.0987,,0.04,,,,,,,,
23053,,,,,,0,,0.5955,,,,,,,,
23054,,,,,,0,,0.5,,,,,,,,
23055,,,,,,0,,0.2107,,,,,,,,
23056,,,,,,0.2455,,0.141,,,,,,,,
23057,,,,,,0,,0,,,,,,,,
23058,,,,,,0.1941,,0,,,,,,,,
23059,,,,,,0,,0.0502,,,,,,,,
23060,,,,,,0,,0,,,,,,,,
23061,,,,,,0.1159,,0.2995,,,,,,,,
23062,,,,,,0,,0.5,,,,,,,,
23063,,,,,,0,,0.1662,,,,,,,,
23064,,,,,,0.1657,,0,,,,,,,,
23065,,,,,,0,,0,,,,,,,,
23066,,,,,,0.1985,,0,,,,,,,,
23067,,,,,,0.0203,,0,,,,,,,,
23068,,,,,,0,,0,,,,,,,,
23069,,,,,,0,,0,,,,,,,,
23070,,,,,,0,,0,,,,,,,,
23071,,,,,,0,,0.0996,,,,,,,,
23072,,,,,,0.0093,,0.6423,,,,,,,,
23073,,,,,,0.679,,0.2976,,,,,,,,
23074,,,,,,0.0915,,0,,,,,,,,
23075,,,,,,0.0968,,0,,,,,,,,
23076,,,,,,0,,0.5209,,,,,,,,
23077,,,,,,0.0072,,0.0268,,,,,,,,
23078,,,,,,0,,0.146,,,,,,,,
23079,,,,,,0.3722,,0.5,,,,,,,,
23080,,,,,,0.1444,,0.5846,,,,,,,,
23081,,,,,,0,,0,,,,,,,,
23082,,,,,,0.0841,,0.1859,,,,,,,,
23083,,,,,,0.212,,0.5,,,,,,,,
23084,,,,,,0.0445,,0.2748,,,,,,,,
23085,,,,,,0,,0.5,,,,,,,,
23086,,,,,,0.0506,,0.5,,,,,,,,
23087,,,,,,0,,0.1478,,,,,,,,
23088,,,,,,0,,0.2977,,,,,,,,
23089,,,,,,0.0714,,0.428,,,,,,,,
23090,,,,,,0.127,,0.2036,,,,,,,,
23091,,,,,,0,,0.5596,,,,,,,,
23092,,,,,,0,,0,,,,,,,,
23093,,,,,,0.1121,,0,,,,,,,,
23094,,,,,,0,,0,,,,,,,,
23095,,,,,,0,,0.1569,,,,,,,,
23096,,,,,,0,,0,,,,,,,,
23097,,,,,,0.3103,,0,,,,,,,,
23098,,,,,,0.4928,,0.0864,,,,,,,,
23099,,,,,,0,,0.03,,,,,,,,
23100,,,,,,0.0603,,0.0612,,,,,,,,
23101,,,,,,0,,0,,,,,,,,
23102,,,,,,0.1385,,0.022,,,,,,,,
23103,,,,,,0.0653,,0.0451,,,,,,,,
23104,,,,,,0.2274,,0,,,,,,,,
23105,,,,,,0.2669,,0.5,,,,,,,,
23106,,,,,,0.2673,,0,,,,,,,,
23107,,,,,,0.0847,,0.2865,,,,,,,,
23108,,,,,,0.1563,,0.1677,,,,,,,,
23109,,,,,,0.3231,,0.0829,,,,,,,,
23110,,,,,,0.4915,,0,,,,,,,,
23111,,,,,,0.4825,,0.2013,,,,,,,,
23112,,,,,,0.3242,,0,,,,,,,,
23113,,,,,,0.1109,,0.1899,,,,,,,,
23114,,,,,,0.0611,,0.1231,,,,,,,,
23115,,,,,,0,,0.515,,,,,,,,
23116,,,,,,0,,0.1177,,,,,,,,
23117,,,,,,0,,0.5,,,,,,,,
23118,,,,,,0,,0.2076,,,,,,,,
23119,,,,,,0.0273,,0.2135,,,,,,,,
23120,,,,,,0.1041,,0.5,,,,,,,,
23121,,,,,,0.3583,,0,,,,,,,,
23122,,,,,,0,,0,,,,,,,,
23123,,,,,,0.0872,,0,,,,,,,,
23124,,,,,,0,,0,,,,,,,,
23125,,,,,,0,,0,,,,,,,,
23126,,,,,,0,,0.0753,,,,,,,,
23127,,,,,,0.0545,,0,,,,,,,,
23128,,,,,,0.0894,,0.1017,,,,,,,,
23129,,,,,,0,,0,,,,,,,,
23130,,,,,,0,,0.5,,,,,,,,
23131,,,,,,0,,0.0022,,,,,,,,
23132,,,,,,0.0819,,0.1911,,,,,,,,
23133,,,,,,0.0293,,0.279,,,,,,,,
23134,,,,,,0,,0,,,,,,,,
23135,,,,,,0,,0.0027,,,,,,,,
23136,,,,,,0,,0.1586,,,,,,,,
23137,,,,,,0,,0.2704,,,,,,,,
23138,,,,,,0.0093,,0.16,,,,,,,,
23139,,,,,,0,,0.0119,,,,,,,,
23140,,,,,,0,,0.4184,,,,,,,,
23141,,,,,,0,,0.5,,,,,,,,
23142,,,,,,0,,0.0615,,,,,,,,
23143,,,,,,0.0307,,0.1069,,,,,,,,
23144,,,,,,0,,0.1068,,,,,,,,
23145,,,,,,0.1377,,0,,,,,,,,
23146,,,,,,0.1179,,0.2115,,,,,,,,
23147,,,,,,0,,0.0078,,,,,,,,
23148,,,,,,0.0712,,0,,,,,,,,
23149,,,,,,0,,0,,,,,,,,
23150,,,,,,0,,0.5,,,,,,,,
23151,,,,,,0,,0,,,,,,,,
23152,,,,,,0,,0.093,,,,,,,,
23153,,,,,,0.5,,0,,,,,,,,
23154,,,,,,0,,0,,,,,,,,
23155,,,,,,0,,0,,,,,,,,
23156,,,,,,0,,0.1033,,,,,,,,
23157,,,,,,0.0107,,0,,,,,,,,
23158,,,,,,0.103,,0.5,,,,,,,,
23159,,,,,,0.1043,,0,,,,,,,,
23160,,,,,,0,,0.0783,,,,,,,,
23161,,,,,,0.0107,,0,,,,,,,,
23162,,,,,,0,,0.022,,,,,,,,
23163,,,,,,0,,0,,,,,,,,
23164,,,,,,0,,0,,,,,,,,
23165,,,,,,0,,0,,,,,,,,
23166,,,,,,0,,0.1516,,,,,,,,
23167,,,,,,0,,0.3647,,,,,,,,
23168,,,,,,0.0399,,0.1794,,,,,,,,
23169,,,,,,0,,0.0212,,,,,,,,
23170,,,,,,0.0523,,0.3263,,,,,,,,
23171,,,,,,0,,0,,,,,,,,
23172,,,,,,0,,0,,,,,,,,
23173,,,,,,0,,0,,,,,,,,
23174,,,,,,0,,0,,,,,,,,
23175,,,,,,0.159,,0.1716,,,,,,,,
23176,,,,,,0,,0.0348,,,,,,,,
23177,,,,,,0,,0.5,,,,,,,,
23178,,,,,,0,,0.0006,,,,,,,,
23179,,,,,,0,,0.0802,,,,,,,,
23180,,,,,,0,,0.1469,,,,,,,,
23181,,,,,,0.093,,0.2578,,,,,,,,
23182,,,,,,0,,0.1493,,,,,,,,
23183,,,,,,0.0333,,0,,,,,,,,
23184,,,,,,0,,0,,,,,,,,
23185,,,,,,0,,0,,,,,,,,
23186,,,,,,0,,0,,,,,,,,
23187,,,,,,0,,0,,,,,,,,
23188,,,,,,0,,0.2249,,,,,,,,
23189,,,,,,0.0237,,0,,,,,,,,
23190,,,,,,0,,0.0977,,,,,,,,
23191,,,,,,0,,0.1061,,,,,,,,
23192,,,,,,0,,0,,,,,,,,
23193,,,,,,0,,0.0992,,,,,,,,
23194,,,,,,0.0552,,0,,,,,,,,
23195,,,,,,0.0229,,0.0227,,,,,,,,
23196,,,,,,0.158,,0.0484,,,,,,,,
23197,,,,,,0,,0,,,,,,,,
23198,,,,,,0.0217,,0,,,,,,,,
23199,,,,,,0.042,,0,,,,,,,,
23200,,,,,,0.1304,,0.5,,,,,,,,
23201,,,,,,0,,0,,,,,,,,
23202,,,,,,0.3492,,0.5,,,,,,,,
23203,,,,,,0.0527,,0,,,,,,,,
23204,,,,,,0,,0.0311,,,,,,,,
23205,,,,,,0.0987,,0.0217,,,,,,,,
23206,,,,,,0.0517,,0,,,,,,,,
23207,,,,,,0,,0,,,,,,,,
23208,,,,,,0.2896,,0,,,,,,,,
23209,,,,,,0.1752,,0,,,,,,,,
23210,,,,,,0.0182,,0,,,,,,,,
23211,,,,,,0,,0,,,,,,,,
23212,,,,,,0,,0,,,,,,,,
23213,,,,,,0.0356,,0,,,,,,,,
23214,,,,,,0.1626,,0.1188,,,,,,,,
23215,,,,,,0.0237,,0,,,,,,,,
23216,,,,,,0.0186,,0.0138,,,,,,,,
23217,,,,,,0.0496,,0,,,,,,,,
23218,,,,,,0.2573,,0.0451,,,,,,,,
23219,,,,,,0.5,,0,,,,,,,,
23220,,,,,,0,,0.0565,,,,,,,,
23221,,,,,,0.2557,,0,,,,,,,,
23222,,,,,,0.1484,,0,,,,,,,,
23223,,,,,,0.1639,,0.0663,,,,,,,,
23224,,,,,,0.1236,,0,,,,,,,,
23225,,,,,,0,,0,,,,,,,,
23226,,,,,,0,,0,,,,,,,,
23227,,,,,,0,,0.3057,,,,,,,,
23228,,,,,,0,,0,,,,,,,,
23229,,,,,,0.1679,,0,,,,,,,,
23230,,,,,,0.3167,,0.1835,,,,,,,,
23231,,,,,,0,,0,,,,,,,,
23232,,,,,,0,,0,,,,,,,,
23233,,,,,,0,,0.0853,,,,,,,,
23234,,,,,,0,,0,,,,,,,,
23235,,,,,,0,,0,,,,,,,,
23236,,,,,,0,,0.0986,,,,,,,,
23237,,,,,,0,,0,,,,,,,,
23238,,,,,,0.0227,,0,,,,,,,,
23239,,,,,,0,,0.2617,,,,,,,,
23240,,,,,,0.3437,,0,,,,,,,,
23241,,,,,,0.0425,,0.0461,,,,,,,,
23242,,,,,,0.3699,,0,,,,,,,,
23243,,,,,,0,,0.2109,,,,,,,,
23244,,,,,,0.2423,,0.1095,,,,,,,,
23245,,,,,,0,,0,,,,,,,,
23246,,,,,,0.0738,,0.3303,,,,,,,,
23247,,,,,,0.1255,,0,,,,,,,,
23248,,,,,,0.2886,,0.0467,,,,,,,,
23249,,,,,,0.1715,,0,,,,,,,,
23250,,,,,,0,,0.3463,,,,,,,,
23251,,,,,,0.0518,,0,,,,,,,,
23252,,,,,,0.1585,,0.1115,,,,,,,,
23253,,,,,,0.1008,,0,,,,,,,,
23254,,,,,,0.0182,,0,,,,,,,,
23255,,,,,,0,,0,,,,,,,,
23256,,,,,,0.0641,,0.0971,,,,,,,,
23257,,,,,,0.2971,,0.097,,,,,,,,
23258,,,,,,0.127,,0,,,,,,,,
23259,,,,,,0,,0,,,,,,,,
23260,,,,,,0.0415,,0.2269,,,,,,,,
23261,,,,,,0,,0.0663,,,,,,,,
23262,,,,,,0.2903,,0,,,,,,,,
23263,,,,,,0,,0,,,,,,,,
23264,,,,,,0.3705,,0.0946,,,,,,,,
23265,,,,,,0.2671,,0.2315,,,,,,,,
23266,,,,,,0.2464,,0.131,,,,,,,,
23267,,,,,,0.0798,,0,,,,,,,,
23268,,,,,,0.0769,,0.29,,,,,,,,
23269,,,,,,0,,0.1347,,,,,,,,
23270,,,,,,0.5,,0,,,,,,,,
23271,,,,,,0,,0.1998,,,,,,,,
23272,,,,,,0,,0.136,,,,,,,,
23273,,,,,,0,,0.0926,,,,,,,,
23274,,,,,,0,,0.1542,,,,,,,,
23275,,,,,,0.5,,0.0885,,,,,,,,
23276,,,,,,0,,0.0967,,,,,,,,
23277,,,,,,0.1071,,0.0895,,,,,,,,
23278,,,,,,0.0533,,0.088,,,,,,,,
23279,,,,,,0.2071,,0.0591,,,,,,,,
23280,,,,,,0.0615,,0,,,,,,,,
23281,,,,,,0.0558,,0,,,,,,,,
23282,,,,,,0.1182,,0.022,,,,,,,,
23283,,,,,,0.1215,,0,,,,,,,,
23284,,,,,,0,,0,,,,,,,,
23285,,,,,,0.0882,,0,,,,,,,,
23286,,,,,,0.02,,0.0593,,,,,,,,
23287,,,,,,0,,0.0723,,,,,,,,
23288,,,,,,0.1714,,0,,,,,,,,
23289,,,,,,0.054,,0,,,,,,,,
23290,,,,,,0.0976,,0.3048,,,,,,,,
23291,,,,,,0,,0.0629,,,,,,,,
23292,,,,,,0.3197,,0.063,,,,,,,,
23293,,,,,,0.353,,0,,,,,,,,
23294,,,,,,0,,0.0669,,,,,,,,
23295,,,,,,0.3485,,0,,,,,,,,
23296,,,,,,0.045,,0,,,,,,,,
23297,,,,,,0,,0.1451,,,,,,,,
23298,,,,,,0.5,,0.0167,,,,,,,,
23299,,,,,,0.5738,,0.2773,,,,,,,,
23300,,,,,,0.065,,0,,,,,,,,
23301,,,,,,0,,0,,,,,,,,
23302,,,,,,0.1492,,0,,,,,,,,
23303,,,,,,0.0314,,0,,,,,,,,
23304,,,,,,0.0625,,0.0005,,,,,,,,
23305,,,,,,0,,0,,,,,,,,
23306,,,,,,0.2025,,0.0978,,,,,,,,
23307,,,,,,0,,0.0811,,,,,,,,
23308,,,,,,0.3358,,0.0968,,,,,,,,
23309,,,,,,0.0442,,0,,,,,,,,
23310,,,,,,0.2104,,0.0646,,,,,,,,
23311,,,,,,0.0565,,0,,,,,,,,
23312,,,,,,0.0459,,0,,,,,,,,
23313,,,,,,0,,0,,,,,,,,
23314,,,,,,0.0625,,0.02,,,,,,,,
23315,,,,,,0.1422,,0.0426,,,,,,,,
23316,,,,,,0.0565,,0.0335,,,,,,,,
23317,,,,,,0.5179,,0,,,,,,,,
23318,,,,,,0,,0,,,,,,,,
23319,,,,,,0,,0.3153,,,,,,,,
23320,,,,,,0.1179,,0.4125,,,,,,,,
23321,,,,,,0,,0.202,,,,,,,,
23322,,,,,,0.0114,,0.1894,,,,,,,,
23323,,,,,,0,,0,,,,,,,,
23324,,,,,,0.1849,,0.2235,,,,,,,,
23325,,,,,,0.1211,,0.0741,,,,,,,,
23326,,,,,,0.0189,,0,,,,,,,,
23327,,,,,,0.0631,,0.056,,,,,,,,
23328,,,,,,0.202,,0,,,,,,,,
23329,,,,,,0,,0.0478,,,,,,,,
23330,,,,,,0.1059,,0,,,,,,,,
23331,,,,,,0.2327,,0,,,,,,,,
23332,,,,,,0.3741,,0,,,,,,,,
23333,,,,,,0,,0,,,,,,,,
23334,,,,,,0.5,,0,,,,,,,,
23335,,,,,,0.1219,,0,,,,,,,,
23336,,,,,,0.3133,,0.2935,,,,,,,,
23337,,,,,,0.0105,,0.2629,,,,,,,,
23338,,,,,,0.2671,,0,,,,,,,,
23339,,,,,,0.3668,,0,,,,,,,,
23340,,,,,,0.1337,,0,,,,,,,,
23341,,,,,,0.0324,,0,,,,,,,,
23342,,,,,,0.1376,,0.067,,,,,,,,
23343,,,,,,0,,0,,,,,,,,
23344,,,,,,0,,0,,,,,,,,
23345,,,,,,0.1435,,0,,,,,,,,
23346,,,,,,0,,0,,,,,,,,
23347,,,,,,0.0237,,0,,,,,,,,
23348,,,,,,0.1083,,0.4111,,,,,,,,
23349,,,,,,0.2666,,0.5,,,,,,,,
23350,,,,,,0.0114,,0.0784,,,,,,,,
23351,,,,,,0.0588,,0,,,,,,,,
23352,,,,,,0,,0,,,,,,,,
23353,,,,,,0,,0,,,,,,,,
23354,,,,,,0,,0,,,,,,,,
23355,,,,,,0,,0.089,,,,,,,,
23356,,,,,,0.0565,,0.1505,,,,,,,,
23357,,,,,,0.3007,,0.3768,,,,,,,,
23358,,,,,,0,,0,,,,,,,,
23359,,,,,,0.0754,,0,,,,,,,,
23360,,,,,,0,,0,,,,,,,,
23361,,,,,,0.0314,,0.028,,,,,,,,
23362,,,,,,0,,0,,,,,,,,
23363,,,,,,0,,0.0915,,,,,,,,
23364,,,,,,0,,0.0832,,,,,,,,
23365,,,,,,0.2002,,0.1935,,,,,,,,
23366,,,,,,0.0237,,0.3135,,,,,,,,
23367,,,,,,0.0221,,0,,,,,,,,
23368,,,,,,0,,0.3835,,,,,,,,
23369,,,,,,0,,0.0692,,,,,,,,
23370,,,,,,0.0382,,0,,,,,,,,
23371,,,,,,0,,0,,,,,,,,
23372,,,,,,0,,0,,,,,,,,
23373,,,,,,0.063,,0,,,,,,,,
23374,,,,,,0,,0,,,,,,,,
23375,,,,,,0,,0.5,,,,,,,,
23376,,,,,,0.2042,,0,,,,,,,,
23377,,,,,,0,,0,,,,,,,,
23378,,,,,,0.0867,,0.2052,,,,,,,,
23379,,,,,,0.0228,,0.2158,,,,,,,,
23380,,,,,,0.2027,,0.0841,,,,,,,,
23381,,,,,,0,,0,,,,,,,,
23382,,,,,,0.0022,,0.0807,,,,,,,,
23383,,,,,,0,,0.1591,,,,,,,,
23384,,,,,,0.0921,,0.1375,,,,,,,,
23385,,,,,,0.2433,,0,,,,,,,,
23386,,,,,,0,,0,,,,,,,,
23387,,,,,,0,,0,,,,,,,,
23388,,,,,,0,,0,,,,,,,,
23389,,,,,,0,,0,,,,,,,,
23390,,,,,,0,,0,,,,,,,,
23391,,,,,,0,,0,,,,,,,,
23392,,,,,,0,,0.0762,,,,,,,,
23393,,,,,,0,,0.4024,,,,,,,,
23394,,,,,,0.1076,,0,,,,,,,,
23395,,,,,,0,,0.0585,,,,,,,,
23396,,,,,,0,,0.0404,,,,,,,,
23397,,,,,,0.0078,,0.0708,,,,,,,,
23398,,,,,,0.0237,,0.2074,,,,,,,,
23399,,,,,,0,,0,,,,,,,,
23400,,,,,,0.0271,,0.4606,,,,,,,,
23401,,,,,,0,,0,,,,,,,,
23402,,,,,,0,,0,,,,,,,,
23403,,,,,,0.0268,,0,,,,,,,,
23404,,,,,,0,,0,,,,,,,,
23405,,,,,,0,,0,,,,,,,,
23406,,,,,,0.087,,0,,,,,,,,
23407,,,,,,0,,0,,,,,,,,
23408,,,,,,0.1273,,0,,,,,,,,
23409,,,,,,0.2989,,0.0748,,,,,,,,
23410,,,,,,0.0877,,0.1039,,,,,,,,
23411,,,,,,0.2613,,0.0832,,,,,,,,
23412,,,,,,0.5069,,0.0823,,,,,,,,
23413,,,,,,0.0954,,0.0294,,,,,,,,
23414,,,,,,0.1033,,0.0382,,,,,,,,
23415,,,,,,0,,0.3491,,,,,,,,
23416,,,,,,0.176,,0.0385,,,,,,,,
23417,,,,,,0.1069,,0,,,,,,,,
23418,,,,,,0.4966,,0,,,,,,,,
23419,,,,,,0.1423,,0,,,,,,,,
23420,,,,,,0.0905,,0,,,,,,,,
23421,,,,,,0.0929,,0.0436,,,,,,,,
23422,,,,,,0.3005,,0,,,,,,,,
23423,,,,,,0.1186,,0.178,,,,,,,,
23424,,,,,,0.1851,,0,,,,,,,,
23425,,,,,,0.5,,0.4897,,,,,,,,
23426,,,,,,0.0339,,0,,,,,,,,
