Individual,AENP,GNP,MNP,WPP,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012
137,,,,,0.1836,0.1028,,0.001,,0.0037,,,,,,
138,,,,,0.0492,0.0904,,0.0962,,0.0019,,,,,,
139,,,,,0.0286,0.0102,,0.0816,,0.0472,,,,,,
140,,,,,0.007,0.0206,,0.0005,,0.0142,,,,,,
141,,,,,0.1238,0.0004,,0.0004,,0.0005,,,,,,
142,,,,,0.0023,0.0014,,0.0019,,0.0002,,,,,,
143,,,,,0.2265,0.0293,,0.1165,,0.0277,,,,,,
144,,,,,0.0494,0.0197,,0.024,,0,,,,,,
145,,,,,0.0155,0.0165,,0.1323,,0.0011,,,,,,
146,,,,,0.2105,0.2601,,0.2448,,0.0006,,,,,,
147,,,,,0.0013,0.005,,0.1372,,0,,,,,,
148,,,,,0.2406,0.0004,,0.0247,,0.0454,,,,,,
149,,,,,0.1957,0.0016,,0.0241,,0.0584,,,,,,
150,,,,,0.0043,0.0223,,0.0067,,0.0788,,,,,,
151,,,,,0,0.0618,,0.1176,,0,,,,,,
152,,,,,0.0261,0.1131,,0.0545,,0,,,,,,
153,,,,,0.0026,0.0004,,0,,0,,,,,,
154,,,,,,0,,0.0443,,0.0586,,,,,,
155,,,,,,0.6455,,0.0136,,0.0809,,,,,,
156,,,,,,0.0189,,0.1619,,0.0297,,,,,,
157,,,,,,0.0349,,0.0168,,0,,,,,,
158,,,,,,0.2257,,0.367,,0.064,,,,,,
159,,,,,,0.0002,,0.2509,,0.237,,,,,,
160,,,,,,0.1061,,0.0762,,0.0311,,,,,,
161,,,,,,0.0434,,0.0975,,0.0242,,,,,,
162,,,,,,0.2337,,0.2075,,0.007,,,,,,
163,,,,,,0.0708,,0.0003,,0.0793,,,,,,
164,,,,,,0.0707,,0.2552,,0.0196,,,,,,
165,,,,,,0.0015,,0.0004,,,,,,,,
166,,,,,,0.0002,,0.0094,,,,,,,,
167,,,,,,0.0008,,0.0143,,,,,,,,
168,,,,,,0.0076,,0.0271,,,,,,,,
169,,,,,,0.0121,,0.3781,,,,,,,,
170,,,,,,0.0051,,0.0229,,,,,,,,
171,,,,,,0.0009,,0.0032,,,,,,,,
172,,,,,,0.0068,,0.0041,,,,,,,,
173,,,,,,0.0742,,0.0503,,,,,,,,
174,,,,,,0.0049,,0.023,,,,,,,,
175,,,,,,0.0009,,0.0247,,,,,,,,
176,,,,,,0.0003,,0.2928,,,,,,,,
177,,,,,,0,,0.4122,,,,,,,,
178,,,,,,0.0663,,0.0703,,,,,,,,
179,,,,,,0.0004,,0.2243,,,,,,,,
180,,,,,,0.0044,,0.1616,,,,,,,,
181,,,,,,0.0097,,0.0523,,,,,,,,
182,,,,,,0.0201,,0.4616,,,,,,,,
183,,,,,,0.2419,,0.4878,,,,,,,,
184,,,,,,0.0606,,0.0474,,,,,,,,
185,,,,,,0.0003,,0.2522,,,,,,,,
186,,,,,,0.0016,,0,,,,,,,,
187,,,,,,0.1991,,0.0243,,,,,,,,
188,,,,,,0.0056,,0.0023,,,,,,,,
189,,,,,,0.0224,,0.0369,,,,,,,,
190,,,,,,0.002,,0.1205,,,,,,,,
191,,,,,,0.0285,,0.0326,,,,,,,,
192,,,,,,0.0014,,0.02,,,,,,,,
193,,,,,,0.0326,,0.1527,,,,,,,,
194,,,,,,0.0183,,0.0004,,,,,,,,
195,,,,,,0.0971,,0.0836,,,,,,,,
196,,,,,,0.1192,,0.2968,,,,,,,,
197,,,,,,0.0236,,0.0003,,,,,,,,
198,,,,,,0.0403,,0.0183,,,,,,,,
199,,,,,,0.0351,,0.0149,,,,,,,,
200,,,,,,0.0378,,0.0355,,,,,,,,
201,,,,,,0.0004,,0.2763,,,,,,,,
202,,,,,,0.0422,,0.3267,,,,,,,,
203,,,,,,0.124,,0.0173,,,,,,,,
204,,,,,,0.0213,,0.0748,,,,,,,,
205,,,,,,0.0157,,0.0678,,,,,,,,
206,,,,,,0.0008,,0.1724,,,,,,,,
207,,,,,,0.1208,,0.1014,,,,,,,,
208,,,,,,0.0003,,0.074,,,,,,,,
209,,,,,,0.0066,,0,,,,,,,,
210,,,,,,0.0006,,0,,,,,,,,
211,,,,,,0.0103,,0.1294,,,,,,,,
212,,,,,,0.0069,,0.0705,,,,,,,,
213,,,,,,0.0069,,0.0087,,,,,,,,
214,,,,,,0.098,,0.0677,,,,,,,,
215,,,,,,0.0169,,0.1061,,,,,,,,
216,,,,,,0.0046,,0.0442,,,,,,,,
217,,,,,,0.0015,,0.0207,,,,,,,,
218,,,,,,0.1107,,0.075,,,,,,,,
219,,,,,,0.0003,,0.0038,,,,,,,,
220,,,,,,0.0824,,0.1794,,,,,,,,
221,,,,,,0.2052,,0.0016,,,,,,,,
222,,,,,,0.0629,,0.0007,,,,,,,,
223,,,,,,0.0015,,0,,,,,,,,
224,,,,,,0.0014,,0.4856,,,,,,,,
225,,,,,,0.0169,,0.189,,,,,,,,
226,,,,,,0.0004,,0.0003,,,,,,,,
227,,,,,,0.0154,,0.6815,,,,,,,,
228,,,,,,0.2958,,0.0299,,,,,,,,
229,,,,,,0.011,,0.0125,,,,,,,,
230,,,,,,0.0018,,0.015,,,,,,,,
231,,,,,,0.0002,,0.0023,,,,,,,,
232,,,,,,0.4441,,0.0002,,,,,,,,
233,,,,,,0.0418,,0.0263,,,,,,,,
